Id,FullName,Gender,Address,Email,Phone,BirthYear,IsFullTime,MaritalStatus,Role,Faculty,HiringYear,Salary
8a2546a1-e624-4412-a7fa-5a287a77f296,Linda Taylor,Female,658 Pine Rd,employee3739@example.com,+15929021167,1963-11-01,True,WIDOWED,CLEANING_STAFF,MATHEMATICS,2006-03-05,42266.02
c117795d-ef38-43a6-a4c9-b3983b6fb4c6,David Harris,Female,189 Maple Ave,employee8886@example.com,+15913239378,1964-08-01,True,MARRIED,CLEANING_STAFF,NURSING,2013-12-26,50921.31
46582424-ec7b-476e-bf60-9abea025ebc7,Michael Lewis,Female,642 Cedar St,employee2299@example.com,+14073606511,1971-05-16,False,SINGLE,CLEANING_STAFF,BUSINESS_AND_MANAGEMENT,2012-08-21,42837.36
94eb5b26-41f7-412c-b9c4-db03ae241179,John Lewis,Male,523 Elm St,employee6486@example.com,+19719940865,1964-01-02,True,SINGLE,CLEANING_STAFF,NURSING,2019-02-20,53477.13
3a4e25d2-d3ba-46c0-b61a-3660376f7bb3,Brian Harris,Female,711 Cedar St,employee8665@example.com,+17924843896,1966-06-27,False,SINGLE,CLEANING_STAFF,MATHEMATICS,1995-04-26,31558.66
7555353a-71c6-4014-87f1-e9bac1d26a54,John Lewis,Female,205 Maple Ave,employee3221@example.com,+13418542988,1993-08-08,False,SINGLE,SECRETARY,FASHION_DESIGN,2002-12-18,33711.95
6d45a68c-20c7-45a0-b067-54234af4501f,Sarah Clark,Male,968 Main St,employee2607@example.com,+15507127326,1978-02-09,True,MARRIED,SECRETARY,PSYCHOLOGY,2000-07-01,50157.09
6e057d20-b19b-456e-ab68-00d4139666b8,Michael Anderson,Female,135 Main St,employee8323@example.com,+13779887995,1969-01-12,False,MARRIED,SECRETARY,BIOLOGY,2005-03-21,48144.09
c9eec250-2a5d-4a22-a3af-48520408fee0,John Lewis,Female,578 Elm St,employee9346@example.com,+19741267839,1962-12-13,False,WIDOWED,TECHNICIAN,NURSING,1997-06-10,36672.24
5befd035-adee-48cf-85bd-148d288c0b59,Alice Harris,Male,189 Maple Ave,employee7900@example.com,+13846943730,1971-01-01,False,WIDOWED,CLEANING_STAFF,PSYCHOLOGY,1993-11-08,55649.98
11cae45f-332f-4430-89c5-0f6bfd7412cd,David Smith,Male,515 Cedar St,employee7922@example.com,+15116538476,1983-03-15,True,WIDOWED,CLEANING_STAFF,FASHION_DESIGN,2018-07-07,31486.47
